text,label
东盟国家加强经济一体化合作！了,12
NBA季后赛今晚打响，湖人队对阵勇士队，,0
共建一带一路高峰论坛在京举行，。？,7
护肤品成分党推动行业透明化了，？,6
中小学教师工资待遇提升方案出台？的！,4
欧盟通过新的数据保护法案加强隐私监管,12
中美元首举行视频会晤讨论双边关系,7
CBA总决赛广东队夺冠。,0
俄乌冲突对全球能源格局产生深远影响？。了,12
外资持续流入中国股市创新高了，,1
虚拟现实游戏体验日益成熟,8
开放世界RPG大作获得年度最佳游戏提名！,8
王者荣耀新赛季更新带来全新英雄和玩法？。,8
高考改革方案正式发布引发社会广泛讨论，,4
混合动力车型受到消费者欢迎的了的,11
中小学教师工资待遇提升方案出台，。,4
音乐综艺选秀节目热度不减,9
青少年编程教育普及化发展？了！,4
商业地产投资回报率持续走高，了,2
政府工作报告提出今年经济增长目标,7
网络诈骗手段升级公安部门提醒市民注意防范,10
芯片制造技术突破三纳米工艺，！,5
二三线城市楼市回暖成交量上升的,2
乡村振兴战略实施取得阶段性成果,7
人工智能大模型在自然语言处理领域取得突破！的了,5
国际空间站迎来新一批宇航员。的,12
手游市场收入再创新高？,8
房企融资渠道收窄行业面临洗牌！！了,2
城市更新改造项目加速推进！,2
无人驾驶出租车在多城市试运营。！,11
汽车芯片短缺问题逐步缓解了,11
虚拟现实游戏体验日益成熟！！？,8
网球大满贯赛事在澳大利亚开幕！了，,0
家装行业数字化转型加速,3
中国女排世锦赛击败巴西队！了,0
网球大满贯赛事在澳大利亚开幕。！！,0
王者荣耀新赛季更新带来全新英雄和玩法了。的,8
电竞比赛总奖金池突破千万美元的,8
双减政策实施一年学生课业负担明显减轻，,4
城市更新改造项目加速推进,2
中国男足在世界杯预选赛中取得关键胜利的,0
反腐败工作持续推进多名官员被查处,7
5G网络覆盖范围持续扩大用户数快速增长的。,5
一线城市房价环比小幅上涨二手房交易活跃,2
商业地产投资回报率持续走高了。？,2
脱口秀节目成为年轻人新宠。？的,9
新中式家具设计融合传统与现代元素！？,3
比特币价格突破历史新高引发关注了,1
国产品牌汽车出口海外市场反响热烈,11
公益组织发起乡村儿童阅读推广活动了？的,10
知名歌手全国巡回演唱会门票秒光了。,9
比特币价格突破历史新高引发关注！的了,1
独立游戏开发者分享创作经验的了，,8
新中式家具设计融合传统与现代元素的。,3
脱口秀节目成为年轻人新宠的,9
房贷利率再次下调购房成本降低？，？,2
Steam夏季特卖活动多款大作打折促销,8
新中式家具设计融合传统与现代元素！的。,3
世界杯足球赛决赛精彩纷呈,0
奢侈品牌推出联名系列引发抢购的，,6
食品安全检查力度加大保障民生,10
政府工作报告提出今年经济增长目标,7
在线教育平台用户数量突破亿级大关！！,4
长租公寓市场快速发展政策支持力度加大,2
区块链技术在供应链领域广泛应用。的。,5
网络剧集播放量破亿口碑票房双丰收？。,9
外交部就国际热点问题阐明中方立场？的,7
住建部要求加大保障性住房建设力度？的,2
住建部要求加大保障性住房建设力度了。的,2
教育部推动课程改革提升教学质量，。,4
俄乌冲突对全球能源格局产生深远影响,12
日本首相访问东南亚加强区域合作,12
G20峰会聚焦全球经济复苏与可持续发展了的？,12
绿色环保涂料成为装修新趋势，，了,3
音乐综艺选秀节目热度不减？？,9
中东局势再度紧张多国呼吁和平对话了,12
动画电影制作水平大幅提升了？,9
东盟国家加强经济一体化合作，,12
自动驾驶技术路测里程再创新高，！！,5
游戏防沉迷系统升级加强未成年人保护！,8
留学生归国就业趋势分析，,4
日本首相访问东南亚加强区域合作！？,12
